Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
72	-40.2125	9.142429	-5.0	-50.0	50.0	-13.25037	8.303321	-0.2712714	-33.778027	876000	-3.259629e-09	91.92954	0.05974858	-32.218105	0.550023	0.105859205	0.65125	6.0	1219.4267604351044
73	-31.7875	14.260107	-3.0	-50.0	50.0	-18.47659	6.834503	-5.0564313	-35.05702	888000	-5.5879354e-09	66.408966	0.07566628	-26.688353	0.55009323	0.10660401	0.67691666	1.0	1234.280312538147
74	-26.745832	15.719612	0.0	-50.0	50.0	-14.218846	8.091503	-2.05445	-34.350033	900000	1.1175871e-08	44.570362	0.061631147	-7.0067997	0.5500708	0.093207724	0.63483334	1.0	1248.558170080185
75	-25.529167	15.423169	-2.0	-50.0	50.0	-12.434987	9.236836	2.602231	-34.30264	912000	-3.1664968e-08	40.497974	-0.005919058	-3.969183	0.5500109	0.0049215527	0.044	79.0	1266.7369372844696
76	-24.820833	16.414335	0.0	-50.0	50.0	-11.91225	9.018458	4.9275823	-34.46586	924000	-3.3993274e-08	32.195927	-0.005376068	-2.5840473	0.53747976	0.0061935214	0.080916665	79.0	1284.7391040325165
77	-23.904167	16.840775	0.0	-50.0	50.0	-11.221634	8.915894	0.23340347	-34.369305	936000	-3.7252903e-09	34.284637	-0.005691929	-0.80020523	0.51745677	0.005975886	0.07516667	79.0	1302.7922167778015
78	-23.1125	15.746952	-2.0	-49.0	50.0	-10.743961	9.401346	1.8095217	-34.452442	948000	-5.5879354e-09	34.111153	0.010663158	-1.4972601	0.5122824	0.023120305	0.3635	79.0	1320.9444205760956
79	-22.654167	15.987534	0.0	-49.0	50.0	-11.717607	9.7190275	0.058097064	-34.31886	960000	1.3038516e-08	39.829403	-0.005928861	-5.8711853	0.50495344	0.009650529	0.1035	79.0	1339.1490621566772
80	-21.195833	15.6843605	-1.0	-48.0	50.0	-9.571787	8.436225	1.4649069	-33.847603	972000	0.0	38.435337	0.05778376	-1.280777	0.4949183	0.07871801	0.61275	12.0	1353.814836025238
81	-20.491667	16.080265	0.0	-49.0	50.0	-10.024169	8.7000675	0.5002599	-33.955715	984000	-2.4214387e-08	35.89283	0.08734696	-1.0567093	0.49498743	0.13090736	0.68983334	1.0	1368.0524084568024
82	-22.5125	15.133291	-2.0	-49.0	50.0	-9.673786	9.074804	0.4189781	-33.492752	996000	-1.1175871e-08	41.28441	0.0464796	-2.8445377	0.4949433	0.08104505	0.62825	2.0	1382.662591457367
83	-22.058332	15.882797	0.0	-48.0	50.0	-10.362957	8.041862	0.6358236	-33.521507	1008000	-1.1641532e-08	34.216675	0.13713609	-1.7891598	0.49485353	0.25169966	0.78908336	1.0	1396.8565728664398
84	-23.133333	15.87526	-2.0	-48.0	50.0	-10.055595	8.536545	0.071762845	-34.03545	1020000	7.450581e-09	37.44734	0.11410248	-1.3751907	0.4947862	0.17376815	0.73808336	1.0	1410.802330493927
85	-26.2625	14.171047	-2.0	-48.0	50.0	-10.113393	8.565866	-0.2157264	-34.179756	1032000	-3.0267984e-09	43.631874	0.069088936	-4.8234425	0.4947058	0.11604224	0.6865	2.0	1425.1701033115387
86	-20.0	14.994721	0.0	-47.0	50.0	-11.182456	8.246861	-0.6388125	-34.66837	1044000	-1.5832484e-08	40.68104	0.14749947	-7.483078	0.49444768	0.32658458	0.8093333	1.0	1439.3600997924805
87	-20.470833	14.797775	-1.0	-48.0	50.0	-10.374575	8.60457	-0.47137785	-33.783104	1056000	2.7939677e-09	46.42878	0.12835929	-5.992794	0.49432644	0.22848722	0.7740833	1.0	1453.4652826786041
88	-24.125	13.590783	-1.0	-50.0	50.0	-9.023045	7.562352	-0.35858396	-33.088108	1068000	2.8405339e-08	60.236893	-0.005157075	-9.026361	0.49424094	0.008536414	0.097	79.0	1471.478014945984
89	-23.8875	14.370683	-2.0	-50.0	50.0	-10.734426	6.42481	-2.0162055	-33.076687	1080000	1.2572855e-08	46.799828	-0.0060518645	-1.9026775	0.48980424	0.005253519	0.032416664	79.0	1489.6266794204712
90	-19.904167	14.733861	-1.0	-49.0	50.0	-10.677872	6.906132	-1.5156505	-34.276203	1092000	1.4901161e-08	44.52251	-0.0065955194	-6.2582893	0.48374397	0.0067899246	0.06333333	79.0	1508.1086468696594
91	-18.4	15.207674	0.0	-47.0	50.0	-8.715381	7.380625	-0.59519875	-33.18947	1104000	1.1175871e-08	33.44086	-0.006920919	-1.266942	0.468106	0.006391974	0.08191667	79.0	1526.1755108833313
92	-17.945833	14.510097	-1.0	-48.0	50.0	-8.484191	8.162718	0.4997146	-32.99567	1116000	1.0244548e-08	39.23522	-0.006484592	-4.036129	0.44924906	0.006127679	0.07891667	79.0	1544.227872133255
93	-17.533333	14.650047	0.0	-47.0	50.0	-8.657948	7.4515743	-0.3313663	-32.92706	1128000	-1.6763806e-08	29.473629	-0.0049613807	-2.0635977	0.43664867	0.0069991667	0.11483333	79.0	1562.3695783615112
94	-15.904166	14.552891	-1.0	-47.0	50.0	-6.9672685	7.256691	0.8204496	-33.346813	1140000	1.8626451e-09	28.457428	-0.004702423	-1.4517021	0.43290156	0.005065508	0.04375	79.0	1580.535747051239
95	-16.041666	14.058151	0.0	-49.0	50.0	-7.54741	7.5799656	0.08413257	-33.425743	1152000	6.519258e-09	26.324074	-0.006842996	-0.9241028	0.4185595	0.008541316	0.07308333	79.0	1599.1779520511627
96	-15.5125	14.497983	0.0	-47.0	50.0	-7.359909	7.6474442	0.6582836	-33.20199	1164000	1.9092113e-08	28.840616	-0.0061102496	-1.8677816	0.404546	0.008024035	0.077416666	79.0	1617.067996263504
97	-13.725	13.174447	0.0	-45.0	50.0	-7.0462103	7.1894536	0.23961186	-32.460804	1176000	2.7939677e-09	28.24073	-0.006030989	-2.5752878	0.38248453	0.004651917	0.053333335	79.0	1634.2782528400421
98	-12.445833	13.161702	0.0	-47.0	50.0	-6.617334	6.9280024	0.27926046	-33.12004	1188000	2.6077032e-08	25.929817	-0.00880355	-3.8633518	0.37179118	0.006304283	0.067833334	79.0	1651.287263393402
99	-9.870833	11.071547	0.0	-44.0	50.0	-4.8801484	6.7762136	0.4612676	-33.437195	1200000	2.2351742e-08	19.266745	-0.0077175032	-3.1887527	0.3660425	0.0066408506	0.079500005	79.0	1668.711535692215
100	-7.0833335	7.928412	0.0	-36.0	50.0	-3.4994905	4.585569	0.56859905	-30.318329	1212000	1.4901161e-08	15.02742	-0.0062614717	-3.5710464	0.35011292	0.012990227	0.16158333	79.0	1685.9679794311523
101	-6.8166666	8.045686	0.0	-43.0	50.0	-3.431047	4.585237	0.42888704	-29.022863	1224000	8.265488e-09	11.65179	-0.0024029852	-2.547562	0.33937693	0.016747072	0.24175	79.0	1703.3825542926788
102	-5.7708335	6.4879365	0.0	-38.0	50.0	-2.3839636	4.1162887	0.8222661	-27.08237	1236000	-1.839362e-08	6.7797604	-0.0029944913	-1.3254154	0.3326043	0.010007953	0.15766667	79.0	1720.6937069892883
103	-4.2208333	3.9143412	0.0	-23.0	50.0	-1.6373864	3.2884107	0.7068253	-23.482782	1248000	-1.6763806e-08	6.207413	-0.007356652	-3.4395857	0.32629982	0.016068507	0.23266667	79.0	1738.2197892665863
104	-3.7875	3.5684743	0.0	-28.0	50.0	-0.98928696	1.8280268	0.25324404	-17.763863	1260000	1.3038516e-08	2.3192	-0.009856913	-0.3021196	0.31761697	0.0070584845	0.07333333	79.0	1755.3969967365265
105	-3.0125	2.1746287	0.0	-15.0	50.0	-0.56436265	1.2165097	0.2972563	-15.06106	1272000	-2.9802322e-08	1.0475094	-0.0075713173	-0.19159785	0.31380314	0.014293668	0.19941667	79.0	1773.1200988292694
106	-2.7666667	1.7427628	0.0	-13.0	50.0	-0.40841523	0.92185724	0.36046648	-10.723441	1284000	1.3038516e-08	0.76993036	-0.003637204	-0.27119476	0.30521128	0.006768359	0.07416667	79.0	1791.833800315857
107	-2.6958334	1.4153855	0.0	-10.0	50.0	-0.3136006	0.6177358	0.33637	-8.823382	1296000	8.8475645e-09	0.43450814	-0.0089475	-0.112115085	0.3006494	0.0076952763	0.0885	79.0	1809.4710783958435
108	-2.6583333	1.4577142	0.0	-10.0	50.0	-0.17667127	0.4021798	0.40371686	-8.5948305	1308000	7.450581e-09	0.48387355	-0.009067051	-0.0290761	0.295852	0.008844671	0.096666664	79.0	1828.1445162296295
109	-2.4916666	1.3508999	0.0	-8.0	50.0	-0.18040751	0.33634266	0.27940744	-7.0740447	1320000	1.7811544e-08	0.26825365	-0.006454439	-0.009077981	0.27954024	0.007444985	0.11525001	79.0	1846.81205868721
110	-2.3875	1.1235408	0.0	-6.0	50.0	-0.15451115	0.29848832	0.34560773	-6.471056	1332000	-3.3527613e-08	0.19781868	-0.0041652974	-0.00936763	0.27114025	0.008539916	0.16958332	79.0	1866.724296092987
111	-2.3416667	1.1217237	0.0	-6.0	50.0	-0.11571643	0.24272801	0.3915096	-5.7477436	1344000	-2.6542693e-08	0.16803944	-0.0070947334	-0.004237227	0.2581515	0.006500331	0.07766667	79.0	1886.4675703048706
112	-2.3291667	1.0743134	0.0	-6.0	50.0	-0.09120279	0.24965364	0.31868964	-5.3400383	1356000	-6.519258e-09	0.16252986	-0.005826174	-0.0041626915	0.2546406	0.009395239	0.10983333	79.0	1905.9927203655243
113	-2.2083333	1.0946524	0.0	-5.0	50.0	-0.12021684	0.27465048	0.49652427	-5.1579185	1368000	8.8475645e-09	0.13591324	-0.006788869	-0.0024873652	0.25262374	0.005484144	0.045833334	79.0	1924.957946062088
